Date,Party,Item Code,Qty (Nos),Brand,Cust_type,Media
10-01-2022,Ultra Hi-Trch Systems,TIS63,45.0,Bussmann,T,E
10-01-2022,H.Ratilal & Co.,50NHG000B,200.0,Bussmann,T,E
10-01-2022,H.Ratilal & Co.,125NHG00B,100.0,Bussmann,T,E
10-01-2022,Jaya Impexx,250MT,18.0,Bussmann,T,E
11-01-2022,Indel Indstries Pvt. Ltd.,7.2AHGHC125,6.0,Bussmann,T,E
11-01-2022,Indel Indstries Pvt. Ltd.,7.2BDGHC25,3.0,Bussmann,T,E
11-01-2022,Indel Indstries Pvt. Ltd.,170M5813D,3.0,Bussmann,T,E
11-01-2022,India Electric Company,PV-10A10F,20.0,Bussmann,T,E
12-01-2022,AGG LIfesciences & Safety Solutions LLP,BK-GDC-500MA,100.0,Bussmann,T,E
12-01-2022,AGG LIfesciences & Safety Solutions LLP,BK-GMA-2-R,100.0,Bussmann,T,E
12-01-2022,Maharashtra Electric Corporation,KTK-R-25,30.0,Bussmann,T,E
12-01-2022,Maharashtra Electric Corporation,250LMT,30.0,Bussmann,T,E
12-01-2022,Maharashtra Electric Corporation,500FMM,30.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M1564D,4.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M6811D,9.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M6011,3.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M4465,6.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M2701,6.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M3814D,6.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M4017,9.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M6162,12.0,Bussmann,T,E
12-01-2022,Trans India Solutions,170M1561D,10.0,Bussmann,T,E
12-01-2022,Vilking Electrics & ELectronics,KTK-R-10,10.0,Bussmann,T,E
12-01-2022,Vilking Electrics & ELectronics,C10G10,20.0,Bussmann,T,E
12-01-2022,Vilking Electrics & ELectronics,KTK-5,20.0,Bussmann,T,E
12-01-2022,Vilking Electrics & ELectronics,FNQ-R-15,10.0,Bussmann,T,E
13-01-2022,Emtex Engineering Pvt. Ltd.,170M8608,10.0,Bussmann,T,E
13-01-2022,IMCA Teknical,170M2620,6.0,Bussmann,T,E
13-01-2022,Technoserve Industries,170M3815D,24.0,Bussmann,T,E
13-01-2022,Technoserve Industries,170M4468,15.0,Bussmann,T,E
13-01-2022,Technoserve Industries,40ET,25.0,Bussmann,T,E
13-01-2022,Technoserve Industries,PV-10A10F,30.0,Bussmann,T,E
13-01-2022,Technoserve Industries,PV-20A10F,30.0,Bussmann,T,E
14-01-2022,G Khushwaha,170M8650,1.0,Bussmann,T,W
15-01-2022,Goa Automation,FNQ-R-10,1.0,Bussmann,T,E
15-01-2022,Growmech Industries Pvt. Ltd.,250FM,30.0,Bussmann,T,E
15-01-2022,Growmech Industries Pvt. Ltd.,170M6169,15.0,Bussmann,T,E
15-01-2022,HMTD Engg Pvt. Ltd.,160M14-660,1.0,Bussmann,T,E
15-01-2022,HMTD Engg Pvt. Ltd.,FA20,1.0,Bussmann,T,E
15-01-2022,HMTD Engg Pvt. Ltd.,NSD10,1.0,Bussmann,T,E
15-01-2022,Swaroop Engineers,CEO100,1.0,Bussmann,T,E
15-01-2022,Vinayak Engineers,KTK-25,40.0,Bussmann,T,E
17-01-2022,LSKB Aluminium Foils,120FEE,5.0,Bussmann,T,E
17-01-2022,LSKB Aluminium Foils,125LET,10.0,Bussmann,T,E
17-01-2022,LSKB Aluminium Foils,80FE,10.0,Bussmann,T,E
17-01-2022,LSKB Aluminium Foils,C22G80,10.0,Bussmann,T,E
17-01-2022,LSKB Aluminium Foils,FWP-50A22F,10.0,Bussmann,T,E
17-01-2022,Tejeet Electrical & Engg. Corp.,170M6716,6.0,Bussmann,T,E
17-01-2022,Tejeet Electrical & Engg. Corp.,315MMT,6.0,Bussmann,T,E
17-01-2022,Tejeet Electrical & Engg. Corp.,200MMT,6.0,Bussmann,T,E
17-01-2022,Tejeet Electrical & Engg. Corp.,80FE,6.0,Bussmann,T,E
17-01-2022,Tejeet Electrical & Engg. Corp.,170M5764,9.0,Bussmann,T,E
18-01-2022,Chamundi Electric & Pipes,170M4410,3.0,,,
18-01-2022,VIjay Electrical & Mechanical Corp.,12AHGHB70,5.0,,,
18-01-2022,VIjay Electrical & Mechanical Corp.,12BDGHC20,5.0,,,
18-01-2022,Trans India Solutions,170L8105,18.0,,,
18-01-2022,Trans India Solutions,170L9877,20.0,,,
18-01-2022,Horizon Tech Support & IT Solutions,C10G2,40.0,,,
18-01-2022,Horizon Tech Support & IT Solutions,CHM1DU,40.0,,,
19-01-2022,Ind Cart Pvt. Ltd.,KTK-4,10.0,,,
19-01-2022,Ind Cart Pvt. Ltd.,KTK-15,10.0,,,
19-01-2022,Ind Cart Pvt. Ltd.,170M6013,6.0,,,
19-01-2022,Tej Control Systems Pvt. Ltd.,170M3819D,6.0,,,
19-01-2022,Ind Cart Pvt. Ltd.,170M6013,6.0,Bussmann,T,E
19-01-2022,Tej Control Systems Pvt. Ltd.,170M3819D,6.0,Bussmann,T,E
20-01-2022,Jumbo Exports,DMM-44-100-R,250.0,Bussmann,T,E
20-01-2022,Power Link Corporation,DMM-11AR,250.0,Bussmann,T,E
20-01-2022,Vinit Enterprises,7.2AHGHB90,3.0,Bussmann,T,E
21-01-2022,ABAK Electrofab Engineering Pvt. Ltd.,170M5809,12.0,Bussmann,T,E
21-01-2022,Gurukrupa International Pvt. Ltd.,3.6WFFMO140,20.0,Bussmann,T,E
21-01-2022,Gurukrupa International Pvt. Ltd.,3.6WFFMO200,30.0,Bussmann,T,E
21-01-2022,Gurukrupa International Pvt. Ltd.,3.6WFFMO250,6.0,Bussmann,T,E
21-01-2022,Meknoid Solutions Pvt. Ltd.,100NHG000B,10.0,Bussmann,T,E
21-01-2022,Meknoid Solutions Pvt. Ltd.,50NHG000B,10.0,Bussmann,T,E
21-01-2022,HH Energy Pvt. Ltd.,170M6414,12.0,Bussmann,T,E
22-01-2022,S&S Enterprise,170M5809D,6.0,Bussmann,T,E
22-01-2022,HH Energy Pvt. Ltd.,170M4810,120.0,Bussmann,T,E
22-01-2022,Bhavna Electricals,FWJ-50A,20.0,Bussmann,T,E
22-01-2022,Bhavna Electricals,170M1418,20.0,Bussmann,T,E
24-01-2022,Aira Trex Solutions I Pvt. Ltd.,KTK-R-10,40.0,Bussmann,T,E
